label,text
2,"Donald Trump. Bad wk for #Hillary, &amp; Bill isn't much of a secret weapon.The cool, hip guy known as ""Slick Willy"" is now an old guy who mumbles. #Trump2016"
2,Hilary Clinton. . Lessons won't help #Bernie's demeanor- too old 2 change &amp; he will never have the exp. of #Hillary. He's just not right choice.
2,Donald Trump. #DonaldTrump uses his millions to enter politics while #Hillary2016 uses politics to make millions
2,"Hilary Clinton. It's possible to be a #HillaryClinton fan without pissing on #BernieSanders, and vice versa. Come on #dems, we're better than this."
1,Bernie Sanders. thats pretty weak response My orig point remains If #Hillary loses 2 #Bernie-her supporters shld support him AND VICE VERSA
2,Donald Trump. Kinda hoping #Trump pulls out the 'it doesn't matter what you think' to #Hillary during a live debate! #Trump2016
2,"Donald Trump. I think many were duped by #Cruz, who with more &amp; more evidence seems 2 have used ""anti-estab SHOWS"" to fool us~but he IS #GOPe! #Trump2016"
1,Hilary Clinton. it clearly shows that everyone's vote counts w/the close race in the #IowaCaucus contest between #HillaryClinton and #BernieSanders...VOTE!
1,"Donald Trump. Whadda you know. It's a term New Yorkers use w/o sexual meaning. Origin of schlong -Yiddish literally, snake. #Trump2016 #Hillary"
0,"Donald Trump. ""Hooray trump lost!"" ""Great! Who won!"" ""A slightly more extreme pro-life bloke"" ""Bugger."" #Trump2016 #TedCruz #IowaCaucus"
0,"Hilary Clinton. #bernie wd bring enthusiasm &amp; big coat-tails. #Hillary wd bring email baggage &amp; Romney-esque flip-flops on NAFTA,TPP,DOMA,&amp;Iraq"
2,Donald Trump. The thing #TheMedia's more dishonest about than #Trump? #Hillary2016 . They've done so much to protect her that it makes me sick #Trump2016
0,Hilary Clinton. Erika Andiola slays cnn commentary angling for support of hillary. While #BernieSanders does #Hillary2016 is more false promises.
2,Hilary Clinton. #Bernie is allowed to yell on stage...but not #Hillary...Sexists people believe she should talk real soft since she's a woman #ImWithHer
1,Hilary Clinton. My prediction that #Bernie would lose the #IowaCaucus looks like it'll be correct(I had no doubts). #Hillary up 4% with nearly 30% reporting
1,Donald Trump. I like called it like it is to a circus side show! this is exactly what it is #TedCruz #trump2016 #Hillary2016
0,"Hilary Clinton. #HillaryClinton is even more dangerous than #DonaldTrump, unlike him if she get elected she well knows how to be a real wolf #DemDebate"
0,Hilary Clinton. If #DonaldTrump can beat the US national media please tell me why he can't defeat #HillaryClinton. He's showing us how it's done. #Trump2016
1,"Donald Trump. As the opening bell rings today, kids across America will be giggling at the video of #Trump2016 calling #Cruz a Pu$$y"
2,"Donald Trump. #HillaryClinton talking about 'Being Presidential, REALLY? #BillClinton Jag'enOFF on a INTERN in Oval OFFICE was NOT Presidential,#TRUMP2016"
0,"Hilary Clinton. #Huckabee: ""#DonaldTrump would make a better President every day of week and twice on Sunday, rather than #Hillary."" #WhoCanBeatHillary"
0,Ted Cruz. #Hitlers rise exactly like #DonaldTrump #TedCruz blame minorities4 everything build a lg base of racist haters encourage war on Minorities
1,Donald Trump. Presidential Candidates: Why not give 1% of funds raised to Vets orgs? Show YOUR support for our Vets! #DonaldTrump #JebBush #TedCruz
0,Donald Trump. #DonaldTrump and #HillaryClinton in this pres campaign really makes me miss Phil Hartman and Jan Hooks all the more.
2,"Donald Trump. #TedCruz has a weak chin and looks like he just ended a crying jag, and he's from Canada and can't skate #Trump2016 #Trump"
0,Donald Trump. The country will be a mess with #DonaldTrump #HillaryClinton' plan makes much more sense #DemDebate
1,"Hilary Clinton. #HillaryClinton vs. #DonaldTrump - It's the WarGames election of 2016: ""A strange game. The only winning move is not to play."""
2,"Donald Trump. #DonaldTrump demands an apology from #HillaryClinton. He says she lies. And poorly! ""No one does it better than me babe! I taught Bill!"""
1,"Hilary Clinton. . :#Hillary advisers, Bill think she made ""serious miscalculations"" not attacking #Bernie earlier be4 he sparked ""political movement"""
2,Hilary Clinton. abs RIGHT ON #bernie has never weathered a GOPee storm like #Hillary and Bubba have and has beaten them 25yrs
1,"Hilary Clinton. BREAKING NEWS !!!! About us presidential race, Donald Trump and Hillary Clinton on our home page ?? #donaldtrump #hillaryclinton #politics"
1,"Hilary Clinton. If you're talking only #Iowa, it looks like #BernieSanders could win. Should #Hillary worry? Does worrying help?"
0,"Donald Trump. btw, why even mention #Hillary? What does she have to do with #Trump2016 making a fool of his fans?"
0,Hilary Clinton. There are lots of people from the black community who give $ to #Bernie2016 But how many #HillaryWallSt donors live in your neighborhood?
1,Bernie Sanders. #Hillary2016 = more Wall St fuckery! #Bernie2016 = a representative of the people of America. Don't vote for gender. Vote for change!
2,Donald Trump. wish #TedCruz &amp; #DonaldTrump would get together. They both possess necessary qualities that would be a nice fit.
0,Bernie Sanders. #Unions can work towards increasing middle class wages w/ collective bargaining &amp; most have endorsed #HillaryClinton not #Bernie! #iacaucus
0,Donald Trump. #DonaldTrump says funding Dems like #HillaryClinton is business. Would be more believable if he was funding their opponents too. #CruzCrew
1,Ted Cruz. I could've sworn #DonaldTrump said he was a winner. Lol. He's been scared of that fool #TedCruz for a while. Why he brought up citizenship
0,Hilary Clinton. Funny #HillaryClinton blames #Trump2016 when really ISIS #1 recruitment is is probably video of her epic Fail in #Benghazi 
1,Donald Trump. Trump didn't want to reveal his favorite Bible verse. I have one though. Phil. 4:13 #DonaldTrump #Hannity #TedCruz #RushLimbaugh
2,Hilary Clinton. A real nativist recognizes the true nature of our land doesn't begin with the mayflower. #Hillary2016 #HillYes #Trump2016 #TrumpIsADouche
2,Donald Trump. THE DEMOCRAT PARTY GAVE AWAY THIS ELECTION FROM BEING COERCED BY THE CLINTON MACHINE. #TRUMP HILLARY IS UNELECTABLE. #TRUMP2016 #TEDCRUZ2016
1,Donald Trump. #TedCruz #DonaldTrump why is Sect of Defense Kerry in Saudi Arabia easing their concerns about Iran? Do we represent Iran interest?
2,"Donald Trump. The level of patriotism has inspired is more than I've seen in many years, maybe 50! #Trump2016 #HillaryClinton"
2,Ted Cruz. There's only one reason why #DonaldTrump has questioned #TedCruz citizenship. Ted is beating Donald in Iowa. End of story.
2,"Bernie Sanders. . Unless you want democrats to lose the White House, I suggest you resolve this data breech and let #Hillary #Bernie focus! 🇺🇸"
0,Bernie Sanders. Any surprise #Hillary and #BernieSanders don't have a American Lapel pin.. Guess they dont want to offended anyone #DNCdebate
2,Hilary Clinton. . No matter - they aren't true Dems in that case - just like #Bernie! We will win WH with #Hillary w/out them.
0,Hilary Clinton. With each debate she comes in more practiced but she is still #hillary. Her eyes tell what her lips lie. #Bernie2016 #DemDebate
0,"Donald Trump. The only difference between #DonaldTrump &amp; #TedCruz has some filter to lessen talk shock,both dangerous for the USA"
1,Hilary Clinton. Driving around California and I haven't seen 1 #Hillary sticker. Plenty of #Bernie ones all on ancient cars as old as him.Mostly #Trump ones
0,"Hilary Clinton. I'm assuming that many US media outlets will declare #HillaryClinton's position ""strong"" after each #Sanders2016 victory, but not vice-versa"
1,Ted Cruz. #FoxNews might be turning into msnbc with Nasty tone Wallace and Kelly have#Trump2016 #TedCruz2016
1,Bernie Sanders. Driving around California and I haven't seen 1 #Hillary sticker. Plenty of #Bernie ones all on ancient cars as old as him.Mostly #Trump ones
2,Bernie Sanders. The #GOP's biggest mistake may have been assuming they would be facing #HillaryClinton in the general election. #Sanders may be tougher!
0,Ted Cruz. Ted Cruz at the debate trying to be funny was embarrassing. He is to comedy what Stephen Hawking is to Freestyle Rap. #TedCruz #Trump2016
1,Bernie Sanders. There seems to be a great divide between #BernieSanders and #HillaryClinton supporters. But keep trolling on line and we'll all be fucked.
1,Bernie Sanders. #HillaryClinton #BernieSanders wake up America you get one chance like this again. I'm from Canada so I already have it. Its your turn
2,"Bernie Sanders. Whatever that POS David Brock &amp; #HillaryClinton's campaign can do to SHIFT THE FOCUS FROM REAL ISSUES, they will do. #BernieSanders #topprog"
1,Donald Trump. “Angry” Republican voters go for Trump over Cruz by a 49-22 percent margin. - Poll #Trump2016 #Cruz2016
2,Hilary Clinton. #DonaldTrump Come on America!! Do u remember when the country was great with a Clinton in the Whitehouse!! #Hillary2016
1,Bernie Sanders. I heard though #hillary % vote is narrow she is leading delegate cnt by wide margin and #Bernie will need to win 11 of 12 del to win. True?
0,"Hilary Clinton. Exactly! #sanders and #Hillary want to tax capital gains at ""normal"" income rate which will certainly lower investment."
1,"Hilary Clinton. #DonaldTrump says he tough on national security. ""Don't you mean #SocialSECURITY?!"", screamed someone. ""Get #Hillary out of here!"" #jokes"
1,Hilary Clinton. #DemDebate #BernieSanders #HillaryClinton Moderators/media IGNORING the most immediate/biggest issue. AGAIN. When will the media step up??
1,Donald Trump. Can the president do everything that he/she promised during campaign without the OK from the congress? #Trump2016 #Hillary2016 #Sanders2016
2,Donald Trump. Trump would never sale out America for campaign funds like #HillaryClinton and the criminal GOPe have. #MakeAmericaGreatAgain #Trump2016
1,Hilary Clinton. Here's an idea: #Bernie supporters obey Bernie's rules and #Hillary supporters obey Hillary's rules... Everyone else lives in peace.
2,"Bernie Sanders. So #HillaryClinton is upset with someone getting unsecured data off her server? Oh, taste that sweet irony. #BernieGate"
0,"Bernie Sanders. I love #Bernie but he's fighting very steep uphill battle. Unless #Hillary stumbles badly, can't see him get nearly enough black votes"
0,Donald Trump. #TedCruz is on fire! Solving with flat 10/16 taxes! Instead of all the feet dragging #JebBush or typical wealthy businessman #DonaldTrump
1,Hilary Clinton. #BernieSanders isn't running against #HillaryClinton. He's running against everything that is wrong with America #Poverty #Greed #Debt #ETC
1,"Hilary Clinton. As usual, Sunday morning shows are all #GOP all the time while ignoring that #Bernie is now tied with #Hillary in both early states!"
0,Hilary Clinton. and they all wanna vote for killary Clinton..... vote #Trump2016 put a end to this free loading country. #hillaryforprison2016
1,Ted Cruz. Presidential candidates tweeting back and forth to each other like it's a rap battle or something. #DonaldTrump #TedCruz #GOPDebate
1,"Bernie Sanders. Not taking WallStreet money is why #BernieSanders is going to win, this held Obama back, &amp; #Hillary, time for more change #inequality too hi"
1,"Hilary Clinton. Question: how come when #Hillary makes an absurd unkeepable promise, it's ""pandering,"" but when #Bernie does it, he's ""speaking the truth""?"
2,Hilary Clinton. No two-ways about it is a more eloquent spokes-person for #Hillary than #DonaldTrump would ever hope to have. Rally on .
2,"Hilary Clinton. Says it all when moderators directs more complex questions on foreign issues to #Hillary not #Bernie, &amp; Bernie follows up w/""I agree w/her"""
2,"Donald Trump. SO,#Socialist Democrat #Bernie2016 &amp; #Hillary2016 Voter's,WEthePeople R Ready for Civil WAR! WE're NOT Giving U 1 CENT in TAX's! #TRUMP2016"
2,Bernie Sanders. Those type of stories will be invaluable when #HillaryClinton is in jail &amp; a conservative candidate is running against #Bernie.
0,"Donald Trump. Sarah Palin endorses #DonaldTrump over his rival #TedCruz on, what proved 2 B, a very bad day 4 Cruz. We'll have analysis 4 u on #CNN"
0,Hilary Clinton. #Trump2016 . #hillary isn't worth bad suits she wears. #obama rules like King &amp; issues Tons of Exec orders. No Queen next.
0,Donald Trump. How an evangelical woman can follow #TedCruz or #DonaldTrump baffles me... Nothing either of them believe Will be helpful to/for women.
0,Hilary Clinton. It's a new level of bad when #Jeb s support has been driven by him to vote for lying #HillaryClinton Spend on homeless Mike #Trump2016 #GOP
0,Donald Trump. So #DonaldTrump it looks like #HillaryClinton was RIGHT when she said #ISIS would use your statement in recruiting video. How about that!
0,Hilary Clinton. How does #Hillary know what videos ISIS is showing? Is she in their recruitment meetings? #Trump2016 
2,"Hilary Clinton. Every time #DonaldTrump says #HillaryClinton doesn't have ""Strength &amp; Stamina"" to be president I hear ""WOMAN""! &amp; it pisses me off! #inners"
0,Hilary Clinton. What's scary is #Hillary2016 indicted for crimes &amp; #Bernie2016 winning by default. I don't want a curmudgeon taxing me broke for freeloaders
0,Hilary Clinton. What does Wall St funded #Hillary have to do with saying she is for us now Since when! #Bernie2016 We the people decide
1,"Bernie Sanders. A ""democratic socialist"" &amp; a documented, serial liar; Hobson went catatonic over a choice like this. #Hillary2016 #Bernie2016 #politics"
2,"Donald Trump. Poor #Hillary2016, #ISIS declared a war on women via Islam &amp; you don't confront them, but #Trump2016 speaks &amp; your a victim with solutions"
2,Donald Trump. #TedCruz used ALL of #DonaldTrump words. Ted said exactly what Trump says at all his rally's. They all criticize #Trump but emulate him!
0,"Hilary Clinton. So #HillaryClinton is upset with someone getting unsecured data off her server? Oh, taste that sweet irony. #BernieGate"
2,"Donald Trump. The protection that #HillaryClinton gets from the media is absolutely disgusting, utterly revolting. GO TRUMP! #Trump2016 "
0,Donald Trump. #Republicans don't seem to be talking about who's the BEST candidate. They're talking about who's the WORST #TedCruz #DonaldTrump
2,Bernie Sanders. #Trump says were overpaid #Hillary says we can have almost enough but only #BernieSanders fights with us for enough to live on #FightFor15
1,Hilary Clinton. Another #DNC snafu? 2nd #Hillary2016 email I've received in as many days S/L: If we lose Iowa or New Hampshire Why: I'm with #Bernie2016
2,Hilary Clinton. #Hillary and# Chelsea lie like rugs They say #Bernie wants to do away with people's health coverage. He wants single payer - more not less
2,Bernie Sanders. Private prisons are modern day slavery. It's a stain on our nation. #BernieSanders wants to shut them down. #Hillary took money from them.
2,"Bernie Sanders. #Hillary2016 backers Stop calling #Bernie2016 supporters ""Bots."" If gets the nom you will want them on your side. #UniteBlue"
0,Hilary Clinton. #Hillary talks about revolving door yet approved arms deals as SoS to countries who donated to Clinton foundation. Wowww #MSNBC2016 #Bernie
0,"Hilary Clinton. #Hillary brags about how Repubs r her enemies. In #Bernie Sanders's last election, he won 25% of their vote. Who again will get things done?"
0,Hilary Clinton. #HillaryClinton is losing my support over Healthcare. #BernieSanders is right. Obamacare not enought; we need Universal Health Coverage
1,Hilary Clinton. Prediction Thursday night #SantaClaus will be in first place in North Pole Poll #Trump2016 #Hillary2016 #Christmas #Election2016
0,"Hilary Clinton. #OMalley man, woah...nice one going after Bernie on his gun friendly past but cool it with the death stares #Bernie2016 #Hillary2016"
0,Donald Trump. Nice foreign policy debate at #DemDebate with substance and knowledge. Nothing about 'carpet bombing' #TedCruz #DonaldTrump
2,Donald Trump. #HillaryinNV not wanting to talk abt #Trump2016 she knows she will get DOMINATED tomorrow when he would respond! #billclintontheabuser
1,Donald Trump. They should ALL expect to have everything disclosed. Smile you're on Candid Camera! #GOP #Hillary #BenCarson #DonaldTrump
1,"Ted Cruz. #DonaldTrump #TedCruz &amp; #BenCarson have led most #GOP polls..but when real votes are cast, the nominee will end up being Rubio or Bush"
1,"Donald Trump. #DonaldTrump reneges his earlier statement that #TedCruz doesn't have the temperament to be president. ""He's got a wonderful temperament."""
0,"Hilary Clinton. #Bernie twice declined to attack #Hillary on corrupt #Emails, declined to attack on #ArabSpring butchery, now won't attack her dirty tactics"
0,Hilary Clinton. Caww! Caww!! Screechin cackling caw cawing! #Hillary daCrow letting #Bernie know she won't go without a flappin
0,"Donald Trump. #DonaldTrump says #HillaryClinton ""got #shlonged"" by Obama when he beat her in 2008. That's okay, she'll totally #knish Trump in 2016."
1,"Hilary Clinton. 0.1 % lead for #Hillary over #Bernie Hillary team claiming victory, because what difference does it make? #IowaCaucus"
2,"Donald Trump. #Trump2016 and #Cruz2016 can stay. Traitor #Rubio can stay, so I can watch his epic fall. All the rest should just drop out now. #KellyFile"
0,Bernie Sanders. #Hillary #Bernie Kerfuffle: I'll let the dust settle on this. But wld be wise to give Bernie data access again.
1,Donald Trump. Score: #Trump + Palin +John Wayne =Victory whereas #Cruz + Duck Dynasty + Congressman-Gov who hates . =10% loss to #Trumptrain
1,Ted Cruz. #DonaldTrump repeated a vulgar insult about #TedCruz and people are shocked?! Why would Biff's behavior shock anybody?
0,"Hilary Clinton. . Was wondering. Seems that groups supporting #Bernie are by member vote, those supporting #Hillary are by management decree."
0,Hilary Clinton. Marco Rubio is such a feather weight that he can actually be knocked over with a feather #Trump2016 #Hillary2016
0,Donald Trump. Twice #hillaryclinton made it back from break on time. #DonaldTrump can only rant about his microphone now. #DemDebate
2,Donald Trump. i may like #Trump2016 a lot but i think #TedCruz is right about nomination and besides unless #HillaryClinton will go off the way never mind
1,Hilary Clinton. Socialist #BernieSanders is giving #HillaryClinton a real fight; reality TV star #DonaldTrump leads the Repubs. Is this the Twilight Zone?!
2,"Hilary Clinton. Prediction: says #HillaryClinton won the Iowa debate, looked self-assured, very qualified; #BernieSanders seemed mean, desperate"
0,Donald Trump. #DonaldTrump is absolute national security threat &amp; is dangerous for America. This is behavior of inexperienced egomaniac. #Cruz no better.
2,Bernie Sanders. #Republicans are made because no one really cares about #HillaryClinton emails! And #BernieSanders is calling out their bank roll lobbying
0,"Donald Trump. January 2016 Sarah Palin again sells her soul in exchange for relevancy, power. Partners with liberal leaning Trump. #TedCruz #DonaldTrump"
2,"Bernie Sanders. Y'all keep trying to make this about #Hillary when the enthusiastic support for #Bernie is about who he is, what he offers "
0,Bernie Sanders. Cuz limited Debate #Hillary can't absorbe #BernieSanders Positions &amp;evolve fast enough to counter the truth spoken to power
1,Hilary Clinton. Right winger physically confronts priest in church preaching popes message on Syrian Refugees #trumpterrorist #hillaryclinton #bernie2016
2,Bernie Sanders. I don't have a clue what #Hillary's health care plan is. Am I an ignorant fool? All along #Bernie2016 has said Medicare4All. WTFisHers?
2,Ted Cruz. I don't care who #DonaldTrump attacks as long as it's not #TedCruz. Unlike other candidates #Cruz will rise as he is attacked he's unique!
0,Hilary Clinton. OMG #Liberals going crazy over #HillaryClinton inspired jihadist recruitment video with #DonaldTrump in it #Liberals #Demarcates get a life
0,"Ted Cruz. I don't think #DonaldTrump skipped the #GOPDebate - I think he's being channeled through #TedCruz - ""don't ask tough questions"""
0,Donald Trump. #DonaldTrump #TedCruz i challenge you to a 3way tx strap match for the gop nom. you're both super tough. let's rumble tiny girly men
2,"Donald Trump. Consider this. What would #Trump Mini-me #TedCruz do if he got elected and then, no longer had #DonaldTrump to copy and follow?"
1,"Bernie Sanders. #Irony The Teabaggers that saved the in 2010 will destroy them in 2016, unless Dems are myopic enough to nominate #Bernie #Hillary2016"
0,Donald Trump. Somebody needs to tell #Republicans that the monkeys they have been toadying to have taken over the zoo. #Trump2016 #TedCruz 
0,"Donald Trump. #TedCruz needs to be asked the tough questions by the press now, like how many times was he stuffed into lockers growing up? #TrumpTrain"
0,Hilary Clinton. TRUE! #Hillary Could Beat A Lie Detector Test! Informed Voters Would Know Better Though! #HillNo #Trump2016
2,Donald Trump. #trump2016 #rubio2016 #cruze2016 all 1000% better than handing reins to grandma #Hilary2016 OMG u think Obama is bad Clinton worst Potus
0,"Bernie Sanders. #Hillary2016 #Bernie2016 very selfish people.1 elitist liar who thinks she knows whats best, 1 who thinks what u earn should b spread around"
0,Donald Trump. I think I just realized. I hate #TedCruz more than #DonaldTrump. Living nightmare. Watching USA nose dive.
2,Donald Trump. #Hillary2016 says DoNOT Judge ALL #Muslims by the Actions of a Few! But Hillary says Judge ALL GunOwners by the Actions of a Few! #TRUMP2016
0,Donald Trump. #DonaldTrump is 1st Republican Pres candidate to financially support every Democrat Pres candidate for last 30 yrs. Even #HillaryClinton.
0,Hilary Clinton. Ok troll you replied to my #BernieSanders tweet with your blah blah blah #Hillary2016 BS! Be gone with your #mentalillness
1,"Ted Cruz. #IowaCaucus almost going as polls indicated, for #Cruz2016 was a must win with #Trump2016 having huge poll leads in NH &amp; SC"
2,"Donald Trump. Do people think there's going to be a call for a Trump/Palin ticket? Now, that's frightening! #Trump2016 #FeelTheBern #Hillary2016"
0,Hilary Clinton. to fair to #DonaldTrump comments on #HillaryClinton all politicians lie like crazy to get your vote...even you Trump you flipping idiot!
0,Donald Trump. #DonaldTrump couldn't keep his sacred marriage vows (3 times). What makes anyone think he will keep his word to the American people? #cruz
0,Ted Cruz. Hoping Cruz will beat Trump is like rooting for ebola to cure cancer. #cruz2016 #trump2016 
2,Bernie Sanders. All #HillaryClinton talks about is fighting all #BernieSanders talks about is building. The age of warriors is dead. Lets build America.
2,Donald Trump. #DonaldTrump said nobody likes #TedCruz imagine MY shock that there's something I agree with Trump on.
2,"Hilary Clinton. Dear #Bernie, Only reason U R ahead in polls is b/c the GOP hasn't started 2 beat up on U the way they have been on #Hillary #Inners "
0,Donald Trump. I think #BernieSanders could be our President because a lot of people don't want #HillaryClinton or #DonaldTrump in the White House -
2,"Donald Trump. #TRUMP2016,YES,#Hillary2016 is Turning Loose Her Fornicating, JagOFF on ANY Dress Womanizing PERVE Husband #BillClinton! IN CUMing! SPLAT!"
1,"Bernie Sanders. #Bernie is the gorgeous endowed hunk you have a weekend fling with, #Hillary is the husband you love, have kids &amp; then grow old with. Tbc"
2,Donald Trump. #DonaldTrump as #POTUS Would Pick #Congress Up by the Ears &amp; Shake Them Til They Pass His Agenda~#Hillary Would be Another #Obama #nyt #cnn
0,"Donald Trump. So #DonaldTrump insulted #Hillary for taking a bathroom break, SORRY TRUMP women don't have long ding-a-lings we use the bathroom often."
0,Ted Cruz. Want to make #America great again? Rejoin the Commonwealth. Her Majesty #QueenElizabethII will outlive #Trump2016. Not to mention #Cruz2024.
1,"Donald Trump. . America First, Rest Next Republicans First, Democrats Next #DonaldTrump First, #TedCruz next"
1,"Bernie Sanders. #HillaryClinton's 2,000,000 fake Twitter accounts are all over the ""Simon and Garfunkel"" trend's page spamming #BernieSanders on diversity."
2,"Donald Trump. #TeaParty #Hillary shoppers racing out for the better deal. Shop owners upset; slander newcomer, vilify all who leave #Trump2016"
2,"Bernie Sanders. ""Not good enough!"" #Bernie on #Hillary explanation on how she'll regulate Wall Street when she receives HUGE $ from Wall Street! #DemDebate"
2,"Ted Cruz. Dear Republicans - Immigration is EVERYTHING. If Texas goes blue from influx of aliens, then game over. Forever. #TRUMP #Cruz #TrumpTrain"
2,"Hilary Clinton. Ohhhh I was mistaken only 30% Morons in the base wanna bomb #Agrabah , 41% of #TrumpTwerps have the desire #Hillary2016 #Clinton/Castro"
2,Hilary Clinton. #BernieSanders and #HillaryClinton looked good at last night's Democratic debate . . . and even better at last Thursday's Republican debate.
2,Donald Trump. No way! #TedCruz threatening to leave the stage?! Is he trying to pull a #DonaldTrump? He couldn't pull it off in a million years....
2,"Ted Cruz. Is there anybody in politics today that isn't beholden to anyone? I can come up with one., maybe two You? #Trump2016 #TedCruz"
1,"Donald Trump. If #DonaldTrump wants 2 talk abt Bill Clinton b/c he's on the campaign trail,then #TedCruz's children R vulnerable 4 appearing N campaign ad"
1,"Donald Trump. So according to #HillaryClinton , all you have to do is show a tape of #DonaldTrump 2a peaceful #Muslim &amp; it magically turns em into killers"
2,Ted Cruz. You know #DonaldTrump is on the crazy train when #TedCruz starts to look like the more sane choice for the far right.
2,"Hilary Clinton. Prediction: says #HillaryClinton won Iowa debate hands down, solidified lead over #BernieSanders who went negative, appeared extreme"
1,Donald Trump. #TodayShow town hall 4 #HillaryClinton held at Jr College #DonaldTrump meeting held at Country Club...just an observation #MSNBC #CNN
2,"Donald Trump. I'm persuaded #DonaldTrump is right when he says "" #Hillary says something, then disappear 3 days, to rest cause she's tired "". #Hillary2Old"
2,Hilary Clinton. #BernieSanders hates modifying tonight's debate 2 front load questions abt nat'l security &amp; foreign relations #Hillary2016 Cuz She'll EatHim
0,"Hilary Clinton. Black young voter are not feeling the Bern in South Carolina , they know #Hillary, #Bernie needs to make his self known negative talk hurts."
2,Bernie Sanders. Last night's #DemDebate was certainly entertaining. #BernieSanders has more charisma than nay candidate I've ever seen but #HillaryClinton
1,Hilary Clinton. Anyone ever notice that #DonaldTrump2016 and #Hillary2016 Look like siblings? Maybe even #Brothers.
0,"Hilary Clinton. President #DonaldTrump will murder children? Repubs and Dems who don't want Trump V #HillaryClinton, support honest and wise #BernieSanders"
